Company_Name,Customer_Name_Business,Customer_Name_Business_Sole_Trader,UK_Taxpayer_Reference_UTR_Number
Moss LLC,Ryan-Iqbal,Georgina Hutchinson,2107747292
Oliver-Ward,"Finch, Simpson and Shah",Craig Welch,487759305
Taylor LLC,Lawson-Parker,Matthew Bird,9589346239
Leonard Ltd,"Gibson, Davies and Watkins",Pauline Fowler,282551014
"Jones, Ali and Lee",Waters Group,Raymond Smith,9443605213
Chapman Ltd,Johnson-Brown,Julian Davies,8738450921
Hutchinson-Harris,"Dale, Atkins and Mason",Nigel Allan,7678775506
"Walsh, Lee and Hunter",Wilson-Begum,Jill Riley,5444295456
"Johnson, Evans and Campbell",Martin-Elliott,Rita White,5432796377
"Barnes, Pearson and Griffin","Buckley, Nelson and Ford",Marcus May,6444774696
Fisher-Mason,White-Marshall,Sara Pearce,2880012699
George Group,Smith Group,Thomas Brookes,118413374
Hopkins Inc,Wood PLC,Gerald Rose,5584135857
Mason Group,Arnold-Roberts,Francis Williams,8939027792
Smith Group,Read Inc,Ashley Jones,1903410031
Thomson-Holden,Jordan-Walker,Alice Wood,5764667399
Newton-Slater,"Nicholls, Smith and Wilson",Olivia Butcher,7233259733
"Lewis, Berry and Burgess","Bryan, Allen and Knowles",Norman Woodward,4901900789
Warren Group,Slater-Shah,Liam Burns,4080939846
"Morgan, Martin and Thompson",Barrett Inc,Shaun Richards,3456258390
Turner-Gallagher,Talbot Inc,Harriet Hunter,6006863113
Smith Ltd,"Ryan, Page and King",Mary Summers,6059102845
"Dawson, Clark and Lloyd",Bentley-Thomas,Alex Andrews,2199094751
"Glover, Brookes and Robinson",Young Group,Alison Lewis,946537210
Donnelly-Doyle,Bennett-Edwards,Margaret Bates,8770363860
"Berry, Wilson and Taylor",Knowles LLC,Marian Evans,346677708
"Thomas, Wright and Harrison",Johnson-Khan,Russell Davies,9018571849
Roberts LLC,"Walsh, Chadwick and Khan",Scott Wong,590034153
Patel-Ellis,Taylor Group,Daniel Douglas,6399110906
Berry-Green,Farmer Group,Kathleen Jones,4256850937
Porter-Pritchard,Wade-Carter,Andrew Kirk,6335674964
Hart Group,"Smart, Smith and Nicholson",Pauline Williams,2079936264
"Foster, Wright and Thomas",Horton and Sons,Brett Power,8126856764
Metcalfe and Sons,Howells-Thompson,Jean Humphreys,3380546404
Humphries Ltd,"Evans, Shepherd and Mason",Keith Sinclair,957208883
Bennett Group,"Pickering, Henry and Godfrey",Lynne Holmes,5206911692
"Collins, O'Neill and Pearson",Taylor-Taylor,Frank Webb,6099705467
Gill-Briggs,Gill-Lee,Victor Jones,3436636987
Allen-Rogers,"Warner, Allan and Owen",Christine Moore,5300378675
Stewart-Harrison,Ward-Harding,Kenneth Chandler,9107680527
Stone-Hewitt,Turner Group,Shirley Taylor,2200760244
Fry-Jackson,Hill Inc,Diana Kaur,8697990799
Morris-Hunt,"Shaw, McKenzie and James",Rosie Power,3094198089
Jones-Burrows,Holmes Group,Stephen Clark,2775316043
Wells LLC,Davies Group,Denise Savage,1147984873
Marshall-Field,"Brown, Cook and Poole",Declan Curtis,4548279359
"Newman, Chapman and Wyatt","Smith, Jones and Davis",Suzanne Fitzgerald,6710712530
"Cook, Clarke and Rowe",Ali PLC,Duncan Simmons,1955533069
Cooke-Gough,"Harris, Poole and Thompson",Beverley Wallace,2248270702
"Fisher, Bennett and Sims",Pickering-Parry,Alan Jarvis,5486570083
"Boyle, Hussain and Williams",Marshall PLC,Jonathan Bell,769639237
"Griffiths, Wilson and Turner",Hudson Group,Abbie Davis,399839657
Smith-Miller,Lucas Group,Jason Davies,3756128414
Patel Inc,Baker LLC,Bradley Green,9791979096
Coleman-Charlton,Wheeler Ltd,Leslie Clarke,8104278201
Allan-Shaw,Begum-John,Frances Smith,8885759439
Short-Duncan,"Burns, Page and Jackson",Phillip Williams,1023500783
Richards PLC,Metcalfe-Thomson,Paula Cooper,3196893188
"Booth, Clarke and Chambers",Foster-Clayton,Jay Knight,4165567639
Taylor-Peacock,Bond-Jackson,Graham Bennett,6131419275
Gibbs Inc,McDonald Inc,Toby Ali,2410439062
Atkins PLC,Cunningham LLC,Karl Walker,533175330
Ahmed-Russell,"Stewart, Jones and Welch",Emily Moore,5088003126
Hughes LLC,Willis Ltd,Joe Cole,689779025
"Powell, Collins and Edwards",Nelson Group,Sylvia Dyer,4454407554
Edwards Ltd,Bird-Mason,Julian Cole,6967151065
Singh-Wilkinson,"Bibi, Johnson and Griffiths",Adrian Wood,4349756698
Smith-Bennett,Harrison Ltd,Susan Bates,7907166284
"Sanderson, Reid and Rhodes",Russell-Myers,Jordan Cooper,970900761
Barnes-Green,Harris-Smith,Sara Collier,7633756510
"Stevenson, Clarke and Anderson",Morgan Group,Rhys Rogers,4896270726
"Slater, Burke and Andrews",Powell-Bond,Irene Campbell,7577763806
Wall-Edwards,Webster-Howarth,Mathew Ball,3737635633
Williams-Morton,"Green, Barlow and Hall",Joyce Bishop,9080086082
Young-Johnston,Campbell LLC,Stewart Schofield,8575959786
"Smith, Hudson and Butler",Hooper-Murray,Thomas Singh,2438389807
Harris-Wilkins,Miles-Chapman,Martyn Hall,1830349289
"Owen, Wilkinson and Rahman","Fletcher, James and Rice",Jasmine Foster,3064803955
Atkins and Sons,Parker-Tyler,Shane Gray,1963313044
"Wood, Carr and Parsons",Armstrong Group,Tom Andrews,7931110790
Smith Inc,"Watson, Phillips and Skinner",Amy Jones,9354610453
"John, Roberts and Smith",Lambert-White,Arthur Buckley,5471378144
Harding-Webb,Fisher-Cooper,Rita White,2566068449
Cooper and Sons,"Long, Nash and Hope",Nicole Curtis,3473549719
Smith-Norris,Hammond LLC,Elliot Brown,7944999614
Martin-Harrison,Pratt-Williams,Hilary Heath,6193516413
Fisher Inc,"Robinson, Hall and Ingram",Gareth Gordon,8763444382
Cartwright-Parkes,Kelly-Richardson,Amber Sullivan,8392466443
Cooper Inc,Read Group,Karen Webb,2219267161
Taylor-Morton,Nash PLC,Kelly Anderson,1459035487
"O'Donnell, Robinson and Lee",Parsons-Howe,Brett Brown,9532787777
"Johnson, Andrews and Matthews","Dodd, Haynes and Spencer",Scott Jennings,8978722864
Wood and Sons,Johnson PLC,Janet Holland,5123293320
Anderson-Gray,Miles-Lewis,Jane Nicholls,8445635462
King Group,Chamberlain-Smith,Peter Harris,4391776768
"Read, Austin and Robson",Nelson-Lane,Charles Woods,6003184480
Shaw-Manning,"Brown, Williams and Watkins",Connor Jennings,3367119244
Griffiths Ltd,"Hill, Hurst and Allen",Bethany Jones,5422160634
"Harrison, Stewart and Myers","Jones, Singh and Dunn",Nicola Dunn,8589299611
Fitzgerald-Brown,"Butler, Bowen and Brown",Jemma May,8958970588
Parry LLC,"James, Bradshaw and Taylor",Ruth Arnold,2703198301
Allan Group,"Smith, Williams and Wilson",Teresa Wilson,4972461243
Rose-Marshall,"Taylor, Wright and Jones",Holly White,1127284979
Barrett Inc,Wright-White,Janet Richardson,207195347
Thomas-Leach,Moore PLC,Stewart Wilson,812150705
Clark and Sons,Gibbs-John,Denise Gallagher,9207912926
"Elliott, Harris and Tucker","Harrison, Clements and Wells",Katie Mahmood,1218285288
Rhodes and Sons,Green PLC,Alex Nash,379283463
"Griffiths, Schofield and Fox","Williams, Patel and Fraser",Pamela Turner,8916112424
Green Ltd,"Berry, Turner and Shaw",Barry Thompson,7549374967
Day-Barker,Parker-Gregory,Simon Randall,2216744590
Smith and Sons,Bell and Sons,Shannon Roberts,7349458964
Ball LLC,"Clarke, Khan and Barnes",Donald Gray,5901139782
"Davis, Khan and Wall","Law, Chapman and Walker",Lydia Johnston,60883159
Powell Ltd,Butcher-Clarke,Elliot Johnson,4316840159
Price Ltd,Cooper-Smith,Brenda Smith,6926786483
Murphy-Walker,"Cunningham, Allen and Butler",Derek Gardiner,5975600999
Gray-Cooper,Smith Ltd,Aaron Reed,9987182517
Robson-Roberts,Watts-Gregory,Andrew Williams,4270362213
Leonard-Carr,"Davison, Roberts and Cross",Janet Smith,8577524897
Clarke PLC,"Lewis, Bowen and Cook",Valerie Thornton,4163815788
Stewart Inc,"Taylor, Thomas and Harrison",Howard Freeman,7634215208
Brown-Jones,Wright-Smith,Brett Ward,8576610974
Palmer-Kent,"Thomas, Knight and Young",Karen Wilson,290376845
Davis-Power,"Clarke, Palmer and Moran",Diana Akhtar,8763236840
Wheeler-Davis,Jones-Barnes,Holly Harrison,2661296559
"Dickinson, Ali and Taylor",Parker Group,Thomas Stephens,9401792183
Johnson Ltd,Williams-Butler,Lydia Johnson,9969300387
Graham-Lewis,Kelly and Sons,Carly Gill,7100490096
Dean PLC,"Woodward, Edwards and Gregory",Clifford Pugh,6862389928
Humphreys PLC,"Hill, Fitzgerald and Payne",Ricky Russell,8482534971
Adams Ltd,Watson-Miller,Simon Rees,1264883844
"Wilson, Bailey and Byrne","Wilson, Thompson and Banks",Guy Wade,2707284354
Jones-Simpson,Walker-Burton,Antony Richards,9369386937
Parkinson and Sons,"Patel, Greenwood and King",Eileen Evans,8323607365
"Webster, Bruce and Pearce",Sutton and Sons,Jake Murphy,4242036419
"Matthews, Wood and Mason",Power LLC,Gemma Newman,6358569176
"Brown, Pearce and Jones","Cameron, Dyer and Clark",Janet Williams,1686151016
Hill-Grant,"Brown, Griffiths and Howard",Samuel Garner,8968307948
Moore-Harrison,Bishop LLC,Marcus Russell,1901049032
"Rowley, Cooper and Cooper",Brown-Connor,Lindsey Lewis,4275395593
Roberts Inc,Curtis-Higgins,Jill Randall,1846126461
Andrews Inc,Singh Group,Andrea Khan,7255362454
Knight-Poole,Davies-Atkins,Victoria Taylor,9847630636
Miller LLC,"Harris, Young and King",Jill Hawkins,5183398465
Parsons-Lewis,Mason Ltd,Jonathan Talbot,6473836055
Davis-Green,"West, Simpson and Connor",Danielle Wilkins,2956072602
"Warren, Williams and Bond",Rowley LLC,Marilyn Berry,8310371208
"Ryan, Roberts and Jones",Hardy-Barton,Matthew Adams,2212087286
Harris-Nixon,Scott and Sons,Nicole Faulkner,8970540734
"Barber, Harrison and Brown",Walters LLC,Daniel Hayward,1935948600
"Flynn, Burton and Quinn",Hughes-Wright,Timothy Wilkinson,8192421157
"Daly, Higgins and Cox",Kelly-Norton,Ryan Cox,3911899491
Walton Ltd,Moran PLC,Albert Fleming,6639113789
"Green, Leonard and Perkins","Walker, Tyler and Patterson",Conor Chapman,6839846635
Gregory-Wade,Middleton-Rogers,Jack Simpson,57411704
Evans-Matthews,Jones Inc,Mark Andrews,7401699254
Rees PLC,"Adams, Ellis and Kelly",Bethan Pearson,5307416384
James Ltd,Field and Sons,Richard Carter,3145395449
Mistry Ltd,Jones-Brennan,Emma Knight,7588131654
Edwards-Bowen,Webster-Edwards,Geoffrey Lawrence,3571940654
Thompson Group,Curtis-Woodward,Derek Edwards,8714260142
Scott PLC,"Curtis, Dixon and Sullivan",Cheryl Griffiths,2448890478
Hill LLC,Carter Ltd,Rhys Russell,7634063121
Williams-Fowler,James Inc,Diane Morris,2074929950
Jackson PLC,Lewis and Sons,Clare Hussain,2258096738
"Taylor, Watkins and Griffiths",Richards Inc,Mark Kennedy,4681963867
Greenwood Ltd,Saunders-Ward,Maurice Graham,1868051751
Robinson-Clarke,Brennan and Sons,Jennifer Richards,9045898983
Rogers-Cartwright,Smith-Jones,Ashley Moss,2681801144
Parker PLC,"Bryan, Boyle and Lane",Lynne Johnson,3955244080
Clayton Ltd,Richards-Bell,Barbara Howard,9993221428
"Smith, Freeman and Chan","Walker, Watkins and Carter",Steven Butler,8047365851
"Higgins, Warner and Brown",Welch-Winter,Georgina Lewis,9015926784
Lynch Inc,Bates Inc,Amanda Woodward,2198460912
"Smith, Payne and Coleman",Singh PLC,Stacey Brooks,922555771
Wheeler LLC,"Webb, Myers and Wells",Thomas Clark,4784608142
"Cook, Butler and Ali",Davidson-O'Donnell,Gerard Harper,7029743569
Lowe-Williams,Ellis and Sons,Valerie Wilson,8787008974
Thomas and Sons,Gill-Evans,Leonard Hargreaves,9541775399
"Roberts, Cook and Taylor",Griffiths and Sons,Charles Ingram,2111085397
Perkins-Middleton,Ellis-Blackburn,Mohammad Cook,5913006150
Lawrence LLC,Hill-Robertson,Rachael Powell,8510155840
